label	Group	numOtus	Otu001	Otu002	Otu003	Otu004	Otu005	Otu006	Otu007	Otu008	Otu009	Otu010	Otu011	Otu012	Otu013	Otu014	Otu015	Otu016	Otu017	Otu018	Otu019	Otu020	Otu021	Otu022	Otu023	Otu024	Otu025	Otu026	Otu027	Otu028	Otu029	Otu030	Otu031	Otu032	Otu033	Otu034	Otu035	Otu036	Otu037	Otu038	Otu039	Otu040	Otu041	Otu042	Otu043	Otu044	Otu045	Otu046	Otu047	Otu048	Otu049	Otu050	Otu051	Otu052	Otu053	Otu054	Otu055	Otu056	Otu057	Otu058	Otu059	Otu060	Otu061	Otu062	Otu063	Otu064	Otu065	Otu066	Otu067	Otu068	Otu069	Otu070	Otu071	Otu072	Otu073	Otu074	Otu075	Otu076	Otu077	Otu078	Otu079	Otu080	Otu081	Otu082	Otu083	Otu084	Otu085	Otu086	Otu087	Otu088	Otu089	Otu090	Otu091	Otu092	Otu093	Otu094	Otu095	Otu096	Otu097	Otu098	Otu099	Otu100	Otu101	Otu102	Otu103	Otu104	Otu105	Otu106	Otu107	Otu108	Otu109	Otu110	Otu111	Otu112	Otu113	Otu114	Otu115	Otu116	Otu117	Otu118	Otu119	Otu122	Otu123	Otu124	Otu127	Otu128	Otu129	Otu130	Otu131	Otu132	Otu134	Otu135	Otu138	Otu139	Otu141	Otu149	Otu158	Otu168	Otu171
1	041002_Sample00445	137	3041	1178	615	1444	274	695	1007	126	439	487	986	47	64	11	69	660	10	89	944	401	40	65	364	427	155	1597	100	532	823	127	29	122	95	127	179	21	7	127	28	751	8	2	173	3	8	83	38	5	0	1	1	0	1	0	0	1	46	0	0	11	138	0	0	1	0	0	0	3	42	12	5	73	2	1	0	0	40	0	12	0	20	9	3	0	25	61	6	1	2	0	0	0	0	0	0	15	0	0	0	0	0	0	1	2	14	0	3	0	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	5	0	0	2	0	0	0	0	0	0	4	0	0	0
1	041003_Sample00446	137	4877	1295	1185	824	334	630	1790	87	1148	656	908	68	411	2	255	3520	119	363	2029	337	299	247	366	75	242	1106	143	885	61	128	100	151	64	88	176	2	23	63	7	114	23	2	78	2	4	3	45	1	1	0	0	0	12	0	0	0	67	0	0	12	43	0	1	1	0	0	56	6	0	5	0	17	1	25	0	2	35	0	11	7	160	1	0	0	6	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	1	1	0	12	0	4	0	0	0	0	0	1	0	1	7	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	12	0	1	0	0	0
1	041004_Sample00448	137	2655	1256	818	844	273	254	3839	145	496	636	1002	10	724	8	16	2749	43	95	1040	133	73	375	301	56	528	123	320	28	0	128	233	203	142	20	324	34	107	131	21	197	2	5	120	3	18	10	39	0	0	8	0	0	17	1	0	0	63	0	0	13	1	0	1	2	6	2	18	2	0	0	1	36	0	2	0	0	84	0	9	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	1	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0
1	041005_Sample00449	137	7559	6029	1762	3310	1432	941	1731	771	556	801	1120	663	2521	1945	999	590	273	1205	739	36	356	547	724	74	920	49	130	89	85	301	69	149	511	124	884	98	239	82	42	151	135	6	232	26	49	149	53	3	3	1	0	5	55	32	0	0	19	7	12	17	3	60	9	2	81	29	49	16	0	53	50	88	0	4	0	4	131	1	22	0	56	3	4	0	9	0	1	2	0	0	0	1	0	0	1	5	1	5	0	0	0	0	0	0	45	9	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	9	0	0	0	0	72	0	0	0	0	0	0	5	0	2	0
1	041006_Sample00450	137	5129	3226	2498	1830	4665	1614	2074	1005	177	144	306	504	2226	1211	848	2673	211	1114	265	21	579	471	428	27	815	415	102	51	38	353	4	70	126	31	191	413	272	53	0	408	27	7	139	9	58	27	63	2	0	0	37	3	147	195	3	0	19	5	101	62	8	6	14	7	2	10	34	0	1	1	11	116	0	15	0	2	72	0	8	0	584	0	0	5	2	0	1	0	0	7	0	0	1	0	2	6	0	1	1	0	3	0	0	0	35	1	0	0	1	3	0	0	0	0	15	0	0	0	0	0	2	0	0	0	0	0	8	0	2	0	0	0	1	3	0	3	0
1	041007_Sample00451	137	6773	3366	1332	1258	447	977	3064	150	1230	728	1907	81	568	70	106	3635	36	265	1694	119	399	388	1662	150	1160	921	186	80	244	398	127	260	219	14	1626	15	58	139	75	393	45	10	261	10	131	2	78	4	2	32	0	4	1	2	0	0	100	1	0	6	6	0	0	11	1	4	35	1	40	45	0	42	18	2	0	0	120	1	11	0	49	10	0	0	3	1	7	0	0	0	9	2	0	1	0	21	1	0	2	0	0	0	0	4	23	4	0	5	0	0	0	0	15	2	11	0	0	5	0	10	0	30	0	12	0	0	3	0	0	0	0	0	0	4	0	0	0
1	041008_Sample00452	137	1907	1639	1395	609	738	142	5189	362	268	568	1616	199	927	40	136	1013	80	530	419	14	39	745	97	64	1172	595	182	15	163	180	137	202	38	0	91	75	13	73	0	127	35	0	180	3	36	2	47	2	0	3	1	2	25	0	3	0	14	2	0	18	8	0	2	0	0	0	25	1	0	29	1	97	0	44	0	0	150	3	11	0	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	27	2	5	0	0	0	1	1	0	1	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0
1	041009_Sample00453	137	1121	1101	626	870	226	1530	2004	130	240	467	836	38	368	62	88	1816	33	127	338	55	43	323	269	60	631	457	139	27	225	79	96	209	41	28	212	17	4	77	2	109	13	5	70	2	26	6	21	1	1	6	1	3	69	3	4	1	34	1	0	4	2	0	0	2	0	0	5	0	4	1	0	43	0	32	0	0	51	0	2	0	52	1	0	0	0	0	1	0	0	0	0	1	0	0	1	28	0	0	0	0	0	1	0	0	7	2	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	3	0	0	16	0	1	0	0	0	0	1	0	0	0
1	041010_Sample0045XX	137	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	041012_WATER	137	2	0	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979	0	24	4611	0	0	0	0	0	0	0	8
1	041024_WATER	137	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	041204_WATER	137	0	2	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	89	0	0	0	0	0	0	0	0
